Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\HASH.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\HASH.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v2.0 Recommended target framework: net10.0-windows"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,HASH\HASH.csproj,File,HASH\FileSystem.cs,203,12,T:System.Uri,,,,,string result = Uri.UnescapeDataString(relative.ToString());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,HASH\HASH.csproj,File,HASH\FileSystem.cs,197,16,T:System.Uri,,,,,relative = uriRelativeTo.MakeRelativeUri(uriPath);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,HASH\HASH.csproj,File,HASH\FileSystem.cs,193,12,T:System.Uri,,,,,Uri uriPath = new Uri(path);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,HASH\HASH.csproj,File,HASH\FileSystem.cs,193,12,M:System.Uri.#ctor(System.String),,,,,Uri uriPath = new Uri(path);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,HASH\HASH.csproj,File,HASH\FileSystem.cs,192,12,T:System.Uri,,,,,Uri uriRelativeTo = new Uri(relativeTo);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,HASH\HASH.csproj,File,HASH\FileSystem.cs,192,12,M:System.Uri.#ctor(System.String),,,,,Uri uriRelativeTo = new Uri(relativeTo);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,172,50,T:System.Windows.Forms.ColumnHeader,,,,,chName
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,171,53,T:System.Windows.Forms.ToolStripButton,,,,,secretButton
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,170,52,T:System.Windows.Forms.OpenFileDialog,,,,,dbOpenDlg
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,169,53,T:System.Windows.Forms.ToolStripButton,,,,,btnRemove
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,168,53,T:System.Windows.Forms.ToolStripButton,,,,,btnEdit
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,167,53,T:System.Windows.Forms.ToolStripButton,,,,,btnAdd
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,166,47,T:System.Windows.Forms.ToolStrip,,,,,toolStrip1
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,165,50,T:System.Windows.Forms.ColumnHeader,,,,,columnHeader3
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,164,50,T:System.Windows.Forms.ColumnHeader,,,,,columnHeader2
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,163,50,T:System.Windows.Forms.ColumnHeader,,,,,columnHeader1
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,162,46,T:System.Windows.Forms.ListView,,,,,lstDbs
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,156,12,M:System.Windows.Forms.Control.PerformLayout,,,,,this.PerformLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,155,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,154,12,T:System.Windows.Forms.ToolStrip,,,,,this.toolStrip1.PerformLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,154,12,M:System.Windows.Forms.Control.PerformLayout,,,,,this.toolStrip1.PerformLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,153,12,T:System.Windows.Forms.ToolStrip,,,,,this.toolStrip1.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,153,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.toolStrip1.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,152,12,E:System.Windows.Forms.Form.Activated,,,,,this.Activated += new System.EventHandler(this.frmDBConfig_Activated);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,151,12,E:System.Windows.Forms.Form.Deactivate,,,,,this.Deactivate += new System.EventHandler(this.frmDBConfig_Deactivate);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,150,12,P:System.Windows.Forms.Form.Text,,,,,"this.Text = ""DB Config"";"
